id,sequence,trip_id,stop_id,created_at,updated_at
263,2,33,387,2015-04-16 19:23:46 UTC,2015-04-16 19:23:46 UTC
264,3,33,214,2015-04-16 19:23:59 UTC,2015-04-16 19:23:59 UTC
265,4,33,404,2015-04-16 19:24:11 UTC,2015-04-16 19:24:11 UTC
266,5,33,516,2015-04-16 19:29:35 UTC,2015-04-16 19:29:35 UTC
267,6,33,401,2015-04-16 19:29:41 UTC,2015-04-16 19:29:41 UTC
268,7,33,402,2015-04-16 19:29:50 UTC,2015-04-16 19:29:50 UTC
269,8,33,400,2015-04-16 19:30:03 UTC,2015-04-16 19:30:03 UTC
270,9,33,403,2015-04-16 19:30:47 UTC,2015-04-16 19:30:47 UTC
271,10,33,405,2015-04-16 19:30:54 UTC,2015-04-16 19:30:54 UTC
272,11,33,17,2015-04-16 19:31:03 UTC,2015-04-16 19:31:03 UTC
273,12,33,16,2015-04-16 19:31:16 UTC,2015-04-16 19:31:16 UTC
274,0,34,459,2015-04-16 19:38:23 UTC,2015-04-16 19:38:23 UTC
275,1,34,212,2015-04-16 19:49:02 UTC,2015-04-16 19:49:02 UTC
276,2,34,210,2015-04-16 19:49:09 UTC,2015-04-16 19:49:09 UTC
277,3,34,3,2015-04-16 19:49:32 UTC,2015-04-16 19:49:32 UTC
278,4,34,26,2015-04-16 19:49:47 UTC,2015-04-16 19:49:47 UTC
279,5,34,27,2015-04-16 19:49:58 UTC,2015-04-16 19:49:58 UTC
280,6,34,28,2015-04-16 19:50:12 UTC,2015-04-16 19:50:12 UTC
281,7,34,464,2015-04-16 19:50:25 UTC,2015-04-16 19:50:25 UTC
284,8,34,517,2015-04-16 20:39:58 UTC,2015-04-16 20:39:58 UTC
285,9,34,285,2015-04-16 20:40:05 UTC,2015-04-16 20:40:05 UTC
286,10,34,520,2015-04-16 20:40:16 UTC,2015-04-16 20:40:16 UTC
287,11,34,522,2015-04-16 20:40:25 UTC,2015-04-16 20:40:25 UTC
288,12,34,524,2015-04-16 20:40:34 UTC,2015-04-16 20:40:34 UTC
289,13,34,526,2015-04-16 20:40:45 UTC,2015-04-16 20:40:45 UTC
290,14,34,528,2015-04-16 20:40:53 UTC,2015-04-16 20:40:53 UTC
291,15,34,530,2015-04-16 20:41:01 UTC,2015-04-16 20:41:01 UTC
292,16,34,532,2015-04-16 20:41:07 UTC,2015-04-16 20:41:07 UTC
293,17,34,534,2015-04-16 20:41:15 UTC,2015-04-16 20:41:15 UTC
294,18,34,537,2015-04-16 20:41:24 UTC,2015-04-16 20:41:24 UTC
295,19,34,539,2015-04-16 20:41:38 UTC,2015-04-16 20:41:38 UTC
296,20,34,542,2015-04-16 20:41:45 UTC,2015-04-16 20:41:45 UTC
297,21,34,543,2015-04-16 20:41:51 UTC,2015-04-16 20:41:51 UTC
298,22,34,545,2015-04-16 20:41:58 UTC,2015-04-16 20:41:58 UTC
299,23,34,547,2015-04-16 20:42:07 UTC,2015-04-16 20:42:07 UTC
300,24,34,549,2015-04-16 20:42:18 UTC,2015-04-16 20:42:18 UTC
301,25,34,551,2015-04-16 20:42:26 UTC,2015-04-16 20:42:26 UTC
302,26,34,553,2015-04-16 20:42:34 UTC,2015-04-16 20:42:34 UTC
303,27,34,555,2015-04-16 20:42:42 UTC,2015-04-16 20:42:42 UTC
304,28,34,555,2015-04-16 20:42:49 UTC,2015-04-16 20:42:49 UTC
305,29,34,559,2015-04-16 20:42:57 UTC,2015-04-16 20:42:57 UTC
306,0,35,560,2015-04-16 20:43:11 UTC,2015-04-16 20:43:11 UTC
307,1,35,557,2015-04-16 20:43:31 UTC,2015-04-16 20:43:31 UTC
308,2,35,556,2015-04-16 20:43:40 UTC,2015-04-16 20:43:40 UTC
309,3,35,554,2015-04-16 20:43:48 UTC,2015-04-16 20:43:48 UTC
310,4,35,552,2015-04-16 20:43:56 UTC,2015-04-16 20:43:56 UTC
311,5,35,552,2015-04-16 20:44:05 UTC,2015-04-16 20:44:05 UTC
312,6,35,548,2015-04-16 20:44:18 UTC,2015-04-16 20:44:18 UTC
313,7,35,546,2015-04-16 20:44:26 UTC,2015-04-16 20:44:26 UTC
314,8,35,544,2015-04-16 20:44:32 UTC,2015-04-16 20:44:32 UTC
315,9,35,541,2015-04-16 20:44:40 UTC,2015-04-16 20:44:40 UTC
316,10,35,541,2015-04-16 20:44:41 UTC,2015-04-16 20:44:41 UTC
317,11,35,540,2015-04-16 20:44:49 UTC,2015-04-16 20:44:49 UTC
318,12,35,538,2015-04-16 20:44:58 UTC,2015-04-16 20:44:58 UTC
319,13,35,536,2015-04-16 20:45:05 UTC,2015-04-16 20:45:05 UTC
320,14,35,535,2015-04-16 20:45:12 UTC,2015-04-16 20:45:12 UTC
321,15,35,533,2015-04-16 20:45:18 UTC,2015-04-16 20:45:18 UTC
322,16,35,531,2015-04-16 20:45:26 UTC,2015-04-16 20:45:26 UTC
323,17,35,529,2015-04-16 20:45:34 UTC,2015-04-16 20:45:34 UTC
324,18,35,527,2015-04-16 20:45:40 UTC,2015-04-16 20:45:40 UTC
325,19,35,525,2015-04-16 20:45:47 UTC,2015-04-16 20:45:47 UTC
326,20,35,523,2015-04-16 20:45:53 UTC,2015-04-16 20:45:53 UTC
327,21,35,521,2015-04-16 20:45:59 UTC,2015-04-16 20:45:59 UTC
328,22,35,519,2015-04-16 20:46:10 UTC,2015-04-16 20:46:10 UTC
329,23,35,518,2015-04-16 20:46:32 UTC,2015-04-16 20:46:32 UTC
330,24,35,389,2015-04-16 20:46:58 UTC,2015-04-16 20:46:58 UTC
331,25,35,390,2015-04-16 20:47:10 UTC,2015-04-16 20:47:10 UTC
332,26,35,7,2015-04-16 20:47:49 UTC,2015-04-16 20:47:49 UTC
333,27,35,5,2015-04-16 20:48:14 UTC,2015-04-16 20:48:14 UTC
334,28,35,515,2015-04-16 20:48:21 UTC,2015-04-16 20:48:21 UTC
335,29,35,3,2015-04-16 20:48:36 UTC,2015-04-16 20:48:36 UTC
336,30,35,211,2015-04-16 20:48:44 UTC,2015-04-16 20:48:44 UTC
337,31,35,213,2015-04-16 20:48:52 UTC,2015-04-16 20:48:52 UTC
338,32,35,459,2015-04-16 20:48:54 UTC,2015-04-16 20:48:54 UTC
