stop_id,stop_name,stop_lat,stop_lon
238,CC El Lago-I,9.074572,-79.524608
239,CC El Lago-R,9.074906,-79.524498
240,Calle Eusebio A. Morales,8.985914,-79.527661
241,Cementerio de Concepcion-I,9.052827000000002,-79.435535
242,Cerro Ancon,8.955111,-79.54575
243,CS Alcalde Diaz,9.112593000000002,-79.555722
244,Costa del Este-Control,9.011501,-79.477597
245,CS Veranillo-I,9.046555,-79.498935
246,CS Veranillo-R,9.046574,-79.499244
247,Central T Chorrillo,8.952681,-79.541126
248,Cerveceria Nacional-I,8.989719,-79.53353
249,Clayton Externa,8.993128,-79.581267
250,Cadena de Frio,9.02813,-79.581693
251,Calle Gelabert-I,9.093639000000001,-79.377184
252,Calle Gelabert-R,9.093709,-79.377024
253,Calle Guatemala,8.986319,-79.524988
254,Chagres-I,9.201445,-79.625901
255,Chagres-R,9.201335,-79.625647
256,Chilibrillo-I,9.186262,-79.616205
257,Chilibrillo-R,9.186225,-79.616023
258,Chilibre Centro-I,9.153966,-79.622099
259,Chilibre Centro-R,9.153966,-79.622008
260,Chivo Chivo-I,9.072546,-79.523578
261,Chivo Chivo-R,9.072708,-79.523346
262,El Chorrillo-Control,8.95143,-79.548425
