id,name,lat,lon,created_at,updated_at
425,Estación Iglesia del Carmen,8.982366,-79.527271,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
426,Artes y oficios,8.987747,-79.533052,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
427,Universidad Interamericana,8.984235,-79.528908,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
428,Calle Eusebio A. Morales,8.985912,-79.527668,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
429,Calle Guatemala,8.986318,-79.524986,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
430,Calle José de Fábrega,8.982974,-79.531872,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
431,Complejo Hospitalario Dr. Armulfo Arias Madrid,8.981308,-79.534259,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
432,UDELAS,8.97189,-79.562706,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
433,ANAM,8.974408,-79.558746,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
434,Saint Mary,8.979354,-79.559224,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
435,Calle Evans,8.982259,-79.557916,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
436,Ave. Canfield,8.988417,-79.555996,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
437,Centro Comercial Country,8.995283,-79.558462,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
438,Embajada Estados Unidos,8.998923,-79.559216,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
439,Colegio Javier,9.00383,-79.562816,2015-04-07 02:27:19 UTC,2015-04-07 02:27:19 UTC
