id,name,url,created_at,updated_at
65,Estación de Metro Iglesia del Carmen - Universidad de Panamá - El Cangrejo,http://www.mibus.com.pa/estacion-del-metro-de-la-iglesia-del-carmen-universidad-de-panama-el-cangrejo/,2015-04-07 02:27:17 UTC,2015-05-07 01:20:11 UTC
110,Mano de Piedra - Vía España,http://www.mibus.com.pa/mano-de-piedra-via-espana/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
111,Mano de Piedra - Vía España - Albrook,http://www.mibus.com.pa/mano-de-piedra-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
112,Mano de Piedra - Vía España - Plaza Concordia,http://www.mibus.com.pa/mano-de-piedra-via-espana-plaza-concordia/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
113,Multiplaza - Cinta Costera - Mercado de Mariscos,http://www.mibus.com.pa/multiplaza-cinta-costera-mercado-de-mariscos/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
115,Paitilla - Plaza Edison - Vía Brasil,http://www.mibus.com.pa/paitilla-plaza-edison-via-brasil/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
119,Panamá Viejo - Vía Porras - Albrook,http://www.mibus.com.pa/panama-viejo-via-porras-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
120,Parque Real - Corredor Sur - Albrook,http://www.mibus.com.pa/parque-real-corredor-sur-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
121,Pedregal - Corredor Sur - Estación Marañón,http://www.mibus.com.pa/pedregal-corredorsur-estacionmaranon/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
122,Pedregal - Corredor Sur - Melchi,http://www.mibus.com.pa/pedregal-corredor-sur-melchi/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
123,Pedregal - Transístmica,http://www.mibus.com.pa/pedregal-transistmica/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
124,Pedregal - Transístmica - Albrook,http://www.mibus.com.pa/pedregal-transistmica-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
125,Pedregal - Transístmica - Cervecería Nacional,http://www.mibus.com.pa/pedregal-transistmica-cerveceria-nacional/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
127,Pedregal - Tumba Muerto - Albrook,http://www.mibus.com.pa/pedregal-tumba-muerto-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
128,Pedregal - Tumba Muerto - Cervecería Nacional,http://www.mibus.com.pa/pedregal-tumba-muerto-cerveceria-nacional/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
129,Pedregal - Vía España,http://www.mibus.com.pa/pedregal-via-espana/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
130,Pedregal - Vía España - Albrook,http://www.mibus.com.pa/pedregal-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
131,Pedregal - Vía España - Plaza Concordia,http://www.mibus.com.pa/pedregal-via-espana-plaza-concordia/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
133,Ruta Transfer - Estación Parador - Don Bosco,http://www.mibus.com.pa/ruta-transfer-estacion-parador-don-bosco/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
134,Ruta Transfer - Estación Parador - Tumba Muerto - Albrook,http://www.mibus.com.pa/ruta-transfer-estacion-parador-tumba-muerto-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
135,Ruta Transfer - Estación Parador - Vía España - Albrook,http://www.mibus.com.pa/ruta-transfer-estacion-parador-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
136,Ruta Transfer - Estación Parador -Mañanitas,http://www.mibus.com.pa/ruta-transfer-estacion-parador-mananitas/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
137,Ruta Transfer - Estación Parador -Tocumen,http://www.mibus.com.pa/ruta-transfer-estacion-parador-tocumen/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
138,Ruta Transfer - Gran Estación - Transístmica - Albrook,http://www.mibus.com.pa/ruta-transfer-gran-estacion-transistmica-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
139,Ruta Transfer - Gran Estación - Vía España - Albrook,http://www.mibus.com.pa/ruta-transfer-gran-estacion-via-espana-albrook/,2015-04-07 02:27:17 UTC,2015-04-07 02:27:17 UTC
140,Ruta Transfer - La Doña - Estación Parador,http://www.mibus.com.pa/ruta-transfer-la-dona-estacion-parador/,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
141,San Antonio - Corredor Norte - Estación Marañón,http://www.mibus.com.pa/san-antonio-corredor-norte-estacion-maranon/,2015-04-07 02:27:18 UTC,2015-04-07 02:27:18 UTC
